    n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, bubble_cmp, bubble_swaps, bubble_time
 1691,        711425,          709746,            774,     19270,       12115,         98,     54906,       17232,        133,    1428895,       709746,        3799
 1692,        712405,          710725,            783,     19489,       10973,         96,     54944,       17238,        130,    1430586,       710725,        4709
 1693,        714008,          712327,            898,     20699,        9622,         99,     54935,       17248,        133,    1432278,       712327,        3808
 1694,        714419,          712737,            783,     20146,       10964,         98,     54978,       17280,        130,    1433971,       712737,        3832
 1695,        716031,          714348,            788,     20458,       10167,        100,     55040,       17285,        133,    1435665,       714348,        3843
 1696,        716832,          715148,            785,     19990,        9567,         98,     55044,       17280,        131,    1437360,       715148,        3928
 1697,        717015,          715330,            795,     21154,       12405,         99,     55069,       17293,        133,    1439056,       715330,        3925
 1698,        717986,          716300,            788,     20274,       10868,         99,     55123,       17313,        132,    1440753,       716300,        3826
 1699,        718773,          717086,            791,     21317,       11921,        100,     55172,       17316,        132,    1442451,       717086,        3931
 1700,        719115,          717427,            789,     20753,       12688,         99,     55115,       17332,        132,    1444150,       717427,        4040
 1701,        719677,          717988,            789,     21260,       12811,        100,     55156,       17337,        132,    1445850,       717988,        3847
 1702,        720114,          718424,            789,     21772,       13444,         98,     55122,       17362,        132,    1447551,       718424,        3966
 1703,        720339,          718648,            790,     22623,       14316,        100,     55159,       17380,        137,    1449253,       718648,        3860
 1704,        720792,          719100,            790,     21862,       13236,         98,     55203,       17361,        133,    1450956,       719100,        3984
 1705,        721647,          719954,            790,     20537,       11669,         98,     55239,       17386,        132,    1452660,       719954,        3973
 1706,        722930,          721236,            770,     20349,       10234,         98,     55302,       17383,        132,    1454365,       721236,        3885
 1707,        723657,          721962,            771,     20868,       11660,        100,     55295,       17385,        132,    1456071,       721962,        3950
 1708,        725128,          723432,            795,     19612,       10982,         99,     55333,       17442,        135,    1457778,       723432,        4040
 1709,        726658,          724961,            775,     20577,       10133,        100,     55401,       17432,        131,    1459486,       724961,        4107
 1710,        728245,          726547,            792,     23383,       10974,        102,     55458,       17446,        133,    1461195,       726547,        4430
 1711,        729400,          727701,            825,     20299,       10752,        179,     55529,       17447,        191,    1462905,       727701,        3934
 1712,        730600,          728900,            793,     21116,       11075,         99,     55499,       17454,        139,    1464616,       728900,        4175
 1713,        732109,          730408,            912,     20850,       10917,        142,     55544,       17463,        157,    1466328,       730408,        4343
 1714,        733051,          731349,            839,     20137,       10883,        100,     55530,       17475,        132,    1468041,       731349,        4033
 1715,        733332,          731629,            798,     19242,       11640,         98,     55580,       17483,        138,    1469755,       731629,        4287
 1716,        734492,          732788,            800,     19595,       10191,        100,     55592,       17498,        134,    1471470,       732788,        4794
 1717,        736168,          734463,           1055,     25212,       13389,        174,     55603,       17532,        218,    1473186,       734463,        4977
 1718,        736531,          734825,            786,     20895,       11454,        101,     55719,       17513,        136,    1474903,       734825,        4251
 1719,        736625,          734918,            788,     22414,       12545,        103,     55721,       17529,        143,    1476621,       734918,        4237
 1720,        737500,          735792,            788,     21263,       11322,        101,     55823,       17555,        134,    1478340,       735792,        3981
 1721,        738506,          736797,            787,     20660,       11847,        102,     55862,       17551,        135,    1480060,       736797,        4197
 1722,        739392,          737682,            842,     21626,       12033,        103,     55854,       17570,        136,    1481781,       737682,        3955
 1723,        740655,          738944,            913,     19543,        9743,        100,     55900,       17602,        171,    1483503,       738944,        4037
 1724,        741334,          739622,            789,     19701,       10411,         99,     55921,       17559,        136,    1485226,       739622,        4219
 1725,        742347,          740634,            810,     20470,       10696,        101,     55939,       17587,        136,    1486950,       740634,        3986
 1726,        743684,          741970,            797,     21128,       11031,        101,     55925,       17610,        136,    1488675,       741970,        4225
 1727,        745180,          743465,            832,     20418,        9798,        102,     55942,       17632,        136,    1490401,       743465,        4098
 1728,        746811,          745095,            824,     21418,        9841,        105,     55999,       17620,        137,    1492128,       745095,        4063
 1729,        747613,          745896,            821,     21257,       11469,        103,     56039,       17630,        140,    1493856,       745896,        4100
 1730,        747758,          746040,            837,     21782,       12477,        106,     56121,       17632,        136,    1495585,       746040,        4101
 1731,        748262,          746543,            844,     21752,       12146,        103,     56122,       17669,        137,    1497315,       746543,        4140
