   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, bubble_cmp, bubble_swaps, bubble_time
 152,          6283,            6135,              9,      1102,         694,          5,      3305,        1017,         14,      11476,         6135,          32
 153,          6405,            6256,              9,      1053,         585,          5,      3340,        1027,         12,      11628,         6256,          32
 154,          6414,            6264,              9,      1208,         642,          5,      3367,        1025,         13,      11781,         6264,          33
 155,          6494,            6343,              9,      1087,         676,          6,      3391,        1038,         13,      11935,         6343,          33
 156,          6619,            6467,              9,      1120,         622,          7,      3449,        1056,         21,      12090,         6467,          35
 157,          6657,            6504,             11,      1108,         685,          8,      3481,        1062,         26,      12246,         6504,          39
 158,          6661,            6507,             11,      1282,         837,          6,      3489,        1062,         17,      12403,         6507,          35
 159,          6779,            6624,             10,      1110,         642,          6,      3524,        1078,         28,      12561,         6624,          56
 160,          6813,            6657,             10,      1204,         803,          6,      3573,        1090,         14,      12720,         6657,          36
 161,          6903,            6746,              9,      1093,         727,          5,      3602,        1100,         16,      12880,         6746,          37
 162,          7023,            6865,             10,      1105,         671,          5,      3638,        1108,         14,      13041,         6865,          38
 163,          7090,            6931,             15,      1189,         811,          6,      3665,        1113,         14,      13203,         6931,          36
 164,          7132,            6972,             10,      1184,         874,          6,      3687,        1131,         14,      13366,         6972,          37
 165,          7146,            6985,             10,      1275,         978,          6,      3720,        1140,         14,      13530,         6985,          38
 166,          7155,            6993,             10,      1411,        1133,         10,      3732,        1136,         19,      13695,         6993,          37
 167,          7247,            7084,             10,      1152,         754,          6,      3769,        1154,         15,      13861,         7084,          37
 168,          7351,            7187,             10,      1237,         813,          6,      3817,        1158,         16,      14028,         7187,          41
 169,          7474,            7309,             10,      1382,         777,          6,      3837,        1166,         44,      14196,         7309,          43
 170,          7598,            7432,             11,      1376,         810,          7,      3869,        1174,         21,      14365,         7432,          42
 171,          7712,            7545,             11,      1302,         895,          6,      3893,        1183,         15,      14535,         7545,          44
 172,          7883,            7716,             11,      1518,         660,          7,      3918,        1194,         16,      14706,         7716,          44
 173,          7991,            7823,             12,      1322,         776,          7,      3956,        1203,         15,      14878,         7823,          44
 174,          8012,            7843,             12,      1473,         905,          7,      3995,        1221,         24,      15051,         7843,          45
 175,          8098,            7928,             12,      1335,         785,          7,      4029,        1232,         15,      15225,         7928,          61
 176,          8255,            8084,             11,      1392,         833,          6,      4083,        1223,         16,      15400,         8084,          42
 177,          8346,            8174,             15,      1353,         700,         28,      4113,        1230,         14,      15576,         8174,          44
 178,          8435,            8262,             12,      1340,         703,          6,      4110,        1245,         16,      15753,         8262,          47
 179,          8608,            8434,             14,      1408,         751,         11,      4157,        1255,         21,      15931,         8434,          59
 180,          8681,            8506,             16,      1420,         848,         10,      4183,        1265,         24,      16110,         8506,          60
 181,          8809,            8633,             16,      1326,         791,          9,      4197,        1277,         32,      16290,         8633,          63
 182,          8954,            8777,             20,      1354,         577,         10,      4267,        1289,         25,      16471,         8777,          63
 183,          9100,            8922,             19,      1481,         745,         12,      4291,        1287,         27,      16653,         8922,          53
 184,          9137,            8958,             13,      1358,         798,          7,      4267,        1304,         21,      16836,         8958,          46
 185,          9168,            8988,             31,      1503,         944,         10,      4304,        1314,         21,      17020,         8988,          60
 186,          9297,            9116,             17,      1424,         931,          9,      4349,        1323,         21,      17205,         9116,          62
 187,          9474,            9292,             17,      1698,        1057,          9,      4370,        1328,         19,      17391,         9292,          62
 188,          9607,            9424,             17,      1296,         662,          9,      4391,        1339,         22,      17578,         9424,          60
 189,          9735,            9551,             17,      1334,         699,          9,      4439,        1347,         21,      17766,         9551,          63
 190,          9785,            9600,             17,      1443,         848,          9,      4443,        1353,         22,      17955,         9600,          63
 191,          9815,            9629,             17,      1553,        1007,          7,      4485,        1367,         15,      18145,         9629,          49
 192,          9870,            9683,             13,      1449,         806,          7,      4527,        1378,         30,      18336,         9683,          66
 193,          9912,            9724,             18,      1479,         983,          9,      4548,        1384,         18,      18528,         9724,          51
 194,         10071,            9882,             13,      1560,         942,          7,      4554,        1391,         17,      18721,         9882,          52
 195,         10107,            9917,             20,      1521,         862,          8,      4578,        1400,         16,      18915,         9917,          51
 196,         10211,           10020,             14,      1444,         922,          7,      4632,        1411,         18,      19110,        10020,          52
 197,         10272,           10080,             14,      1453,         976,         10,      4652,        1418,         23,      19306,        10080,          52
 198,         10343,           10150,             14,      1464,         893,         20,      4652,        1419,         17,      19503,        10150,          51
 199,         10391,           10197,             21,      1490,         994,         11,      4653,        1430,         31,      19701,        10197,          69
 200,         10395,           10200,             14,      1673,        1207,          9,      4709,        1438,         19,      19900,        10200,          54
 201,         10537,           10341,             14,      1514,        1034,         13,      4736,        1445,         25,      20100,        10341,          68
 202,         10646,           10449,             14,      1532,         973,          8,      4760,        1451,         19,      20301,        10449,          54
 203,         10678,           10480,             15,      1529,        1008,          8,      4764,        1458,         18,      20503,        10480,          54
 204,         10790,           10591,             14,      1586,        1033,          9,      4803,        1464,         17,      20706,        10591,          53
 205,         10952,           10752,             15,      1565,         889,          8,      4805,        1474,         18,      20910,        10752,          56
 206,         10983,           10782,             15,      1615,        1024,          8,      4840,        1476,         18,      21115,        10782,          58
 207,         11012,           10810,             15,      1785,        1173,          8,      4848,        1482,         16,      21321,        10810,          57
 208,         11160,           10957,             15,      1783,        1018,          9,      4875,        1499,         17,      21528,        10957,          55
 209,         11343,           11139,             15,      1738,        1013,          8,      4896,        1505,         18,      21736,        11139,          59
 210,         11491,           11286,             15,      1516,         884,          8,      4932,        1511,         18,      21945,        11286,          59
